Disease,Symptoms,Precautions,Drugs
Common Cold,Runny Nose - Sneezing - Cough - Sore Throat - Fever,Rest - Hydration - Over-the-counter medications - Avoid close contact,Acetaminophen - Ibuprofen
Influenza,Fever - Chills - Fatigue - Cough - Body aches,Rest - Fluids - Antiviral medications - Avoid crowded places,Oseltamivir - Rimantadine
Hypertension,Headache - Dizziness - Blurred vision - Shortness of breath - Chest pain,Healthy diet - Regular exercise - Medication adherence - Stress management,Beta blockers - ACE inhibitors
Diabetes,Frequent urination - Excessive thirst - Unexplained weight loss - Fatigue - Blurry vision,Healthy diet - Regular exercise - Insulin management - Regular blood sugar monitoring,Metformin - Gliclazide
Migraine,Intense headache - Nausea - Sensitivity to light - Sensitivity to sound - Visual disturbances,Rest in a quiet - Hydration - Over-the-counter pain relievers - Avoid triggers,Sumatriptan - Naproxen
Allergies,Sneezing - Itchy eyes - Runny nose - Rash - Fatigue,Avoid allergens - Use air purifiers - Take antihistamines, Loratadine - Cetirizine
Asthma,Shortness of breath - Wheezing - Chest tightness - Cough - Fatigue,Avoid triggers - Use inhalers - Monitor respiratory function,Albuterol - Fluticasone
Bronchitis,Cough - Shortness of breath - Chest discomfort - Fatigue - Fever,Rest - Hydration - Antibiotics - Avoid smoking,Amoxicillin - Azithromycin
Gastroenteritis,Diarrhea - Vomiting - Abdominal pain - Nausea - Fever,Hydration - BRAT diet (Bananas, Rice, Applesauce, Toast) - Rest - Avoid spicy foods,Oral rehydration solutions - Loperamide
Pneumonia,Cough - Fever - Shortness of breath - Chest pain - Fatigue,Rest - Antibiotics - Hydration - Monitor respiratory function,Amoxicillin - Azithromycin
Osteoarthritis,Joint pain - Stiffness - Swelling - Reduced range of motion,Regular exercise - Weight management - Pain relievers - Hot/cold therapy,Acetaminophen - Ibuprofen
Rheumatoid Arthritis,Joint pain - Swelling - Morning stiffness - Fatigue - Fever,Medications - Physical therapy - Joint protection techniques,Methotrexate - Adalimumab
Gastritis,Abdominal pain - Nausea - Vomiting - Indigestion - Loss of appetite,Avoid spicy foods - Small, frequent meals - Antacids - Avoid alcohol and smoking,Omeprazole - Ranitidine
Urinary Tract Infection (UTI),Burning sensation during urination - Frequent urination - Cloudy or strong-smelling urine - Abdominal pain - Fever,Hydration - Antibiotics - Avoid irritants - Wipe front to back,Ciprofloxacin - Nitrofurantoin
Hepatitis B,Jaundice - Fatigue - Abdominal pain - Dark urine - Fever,Rest - Avoid alcohol and certain medications - Vaccination - Antiviral medications,Tenofovir - Entecavir
Psoriasis,Red patches of skin - Itching - Thickened, pitted nails - Joint pain - Dry, cracked skin,Avoid triggers - Topical treatments - Phototherapy - Systemic medications,Methotrexate - Cyclosporine
Lupus,Fatigue - Joint pain - Skin rashes - Fever - Chest pain,Medications - Sun protection - Regular medical check-ups,Hydroxychloroquine - Prednisone
Gout,Intense joint pain - Swelling - Redness - Limited range of motion,Medications - Hydration - Avoid purine-rich foods - Weight management,Colchicine - Allopurinol
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Obstructive Pulmonary Disease (COPD),Shortness of breath - Chronic cough - Fatigue - Wheezing - Chest tightness,Smoking cessation - Medications - Pulmonary rehabilitation,Albuterol - Tiotropium
Dengue Fever,Fever - Severe headache - Joint and muscle pain - Skin rash - Bleeding,Hydration - Rest - Pain relievers - Avoid aspirin,Paracetamol - Acetaminophen
Malaria,Fever - Chills - Sweating - Headache - Nausea,Vector control - Antimalarial medications - Protective clothing - Bed nets,Chloroquine - Artemisinin-based combination therapy
Osteoporosis,Fractures - Loss of height - Back pain - Stooped posture - Limited mobility,Calcium and vitamin D supplementation - Weight-bearing exercises - Medications,Alendronate - Risedronate
Anemia,Fatigue - Weakness - Pale skin - Shortness of breath - Dizziness,Iron-rich diet - Iron supplementation - Vitamin B12 supplementation - Folic acid supplementation,Ferrous sulfate - Vitamin B12 injections
Alzheimer's Disease,Memory loss - Confusion - Difficulty in problem-solving - Mood swings - Withdrawal,Social engagement - Cognitive stimulation - Medications - Supportive care,Donepezil - Rivastigmine
